u,v
28461,65123
16044,18264
22482,32581
19224,53942
10108,64391
25655,37972
40140,47406
33969,63543
34797,36156
64988,68251
8354,55546
21688,42505
53801,68597
7135,58588
21154,36438
29595,30766
6266,38134
24408,65197
6055,51294
22589,62644
9746,32205
13939,65621
21419,57473
18191,66349
14297,41522
7648,34677
29045,60481
21154,33874
14456,47509
36418,64163
20864,50270
22057,24165
18865,53681
25929,52017
6435,19268
14312,27796
1441,19665
28268,44350
21395,41534
29959,57605
21669,39984
56426,56473
2254,52024
9082,51382
3906,27139
37737,41127
27312,38847
11530,34268
5263,5379
23584,64477
3989,24824
52771,62749
2254,64507
26503,43768
12067,48973
744,37999
9605,34364
15729,60775
22239,27774
38112,40675
18665,62905
13234,48666
11913,36718
23778,27587
30022,46869
9184,63363
46909,67802
29335,61292
7859,12872
28325,43783
38133,40737
1441,27024
56264,63850
1539,24571
42400,65200
7696,67029
38500,42819
53091,53137
8698,47244
9757,21934
17969,52506
10025,23755
880,16853
2518,40041
11227,60665
7454,65922
27793,33617
16649,40947
38052,68423
4303,45026
17030,51235
13179,13937
12576,63430
41302,59399
54129,68312
14745,60516
2716,47416
49299,63901
20529,22057
26220,46909
27587,46695
21911,42277
3348,49143
1931,16164
10431,49958
27876,33715
5702,34101
66575,67166
41176,60324
12459,36103
22502,60445
47116,47869
478,1078
39266,39267
8242,28880
24178,29635
5421,34101
48076,53132
4248,11986
14742,65193
5277,8275
4536,16620
8031,23499
19747,52883
9884,59651
50736,57377
36103,60445
31023,49105
12799,52030
10337,68604
38161,66850
1171,56504
2254,68510
4014,45194
17370,22152
38965,67872
3765,66253
6210,23282
1724,12561
15011,58965
24883,28665
13937,35630
38109,51521
28042,39920
44753,51520
9030,51498
25137,49369
10084,45460
48611,53439
7648,39960
13052,14176
25717,34931
27312,48192
9675,22652
39483,43136
5379,45749
14125,45323
1101,36071
39959,44567
40370,62494
38354,62777
703,8660
42521,44977
20471,51138
27312,52184
57781,65925
29509,33617
25335,50360
8979,40675
18253,20874
363,10242
48405,50073
16610,59471
12015,33543
44862,51138
1441,54696
37780,66440
26913,27652
27320,57920
60102,68024
35750,60926
22552,30160
50149,58028
44515,47566
27855,44262
49929,55625
42288,61013
37259,41534
59730,66440
23106,45521
9521,49601
38821,39469
43090,43095
23479,66017
10576,27741
12890,48264
40709,56059
40092,41137
28857,33277
13937,66135
1931,41458
47132,64817
42029,60045
42782,61391
41537,55095
54129,61333
21858,56167
25866,36406
37422,51741
3766,15295
35867,60580
3579,33246
40289,44537
15396,46541
23794,27793
17554,22552
13832,56311
10576,51138
666,1481
51739,68385
12511,60605
62824,65788
44594,60751
26127,29342
47725,62803
4944,13133
7393,25094
44831,53707
32206,64422
36862,56609
55505,64594
44287,66474
195,28753
15005,24059
11281,19282
3873,37442
1141,63994
6975,58769
27436,42162
13024,28633
13093,20943
653,25590
18977,60481
32271,39340
19081,24144
16164,58365
10257,16975
6227,18348
5702,57885
3545,32612
31316,55951
190,10073
15238,21834
21044,40894
38682,45403
40370,67872
4483,27260
57830,67872
55924,64493
51911,66820
643,29437
16823,20793
53638,63380
26969,40221
10943,23477
31731,34222
5888,48611
30193,68385
8672,23701
32558,65197
34131,51293
6769,12654
7108,15487
38163,49340
42001,67045
22121,64172
4661,9884
962,51397
37867,47822
39803,49939
57626,58386
15518,34926
22298,43717
24697,65486
20394,20532
4526,9297
4387,51693
25856,47907
10486,53825
13577,22735
28879,47770
9757,13278
28671,52333
22189,34787
16644,54948
6381,32368
777,7255
753,67247
6379,45079
22838,51763
8414,46786
4944,36860
2472,42687
5983,51912
56709,65198
18867,32856
20041,55814
20994,51327
50151,54519
7806,31872
12639,33715
51659,52946
24178,33454
39964,58838
12334,19224
23794,29971
31907,41485
20092,39441
8661,38892
5500,42471
40077,59870
34147,42913
32417,55625
25239,43864
59391,63156
44430,52351
976,58685
643,15678
8307,10598
49096,68385
35606,54094
1481,51246
28837,33092
30077,47217
27027,42067
21895,42995
42261,56867
5597,47357
22643,64817
37983,46279
14546,19974
37892,46377
223,8397
33715,33782
15168,62437
35606,68128
42725,60691
8672,54845
1441,38025
12190,62923
55166,59169
16754,36800
16476,20471
6302,36860
26364,42783
31502,66382
12914,66386
9775,34669
29635,44370
29005,42770
13884,54164
7335,10024
53864,59553
6285,7350
14726,27652
27221,60942
3737,13093
21209,50835
24702,35606
10017,26712
15144,28376
46077,51028
29595,35107
3015,56855
22613,40047
16619,47409
43768,64865
47546,63786
11119,42460
2525,31984
26913,48192
12949,40924
27935,40262
7974,67983
33617,66689
30392,43425
20921,36323
4997,6499
2508,14394
36619,60803
30494,36965
12899,23145
27312,54271
18844,27319
16278,47542
41099,47518
30744,60188
33892,63805
28194,60227
3348,7049
21996,42481
53825,56237
32110,58149
6796,32715
8805,17166
38253,50052
55961,62313
22455,65825
24959,61742
54591,68221
19835,20279
66505,68111
6142,51464
22589,28121
6504,53715
38133,68041
15946,30643
43566,52956
11720,59316
44454,44674
45031,46660
31922,59169
10568,61830
47486,50786
11720,58776
30766,56667
17486,43136
1444,19172
21988,40222
19107,57605
8672,38112
11610,38730
6089,22575
22502,34397
43318,44697
26043,51123
64817,65832
17393,49166
16026,66824
1441,36767
8803,20340
26398,40435
2342,7336
21093,21937
40594,50371
18433,26398
17965,44947
7449,37983
13775,66653
10017,52025
5477,11074
60138,66638
34397,34476
33454,50736
27926,60926
10093,17667
61292,67872
9804,17961
15304,61391
33617,45536
31251,49817
